tool             tier(s)            nodes   flags   %described     ms  status
rst2xml          help                  70       0            —    122  ok
rstpep2html      help                 112       0            —    161  ok
rsync            carapace+help          2     139         100%     25  ok
rsync-ssl        help                   2       0            —     21  ok
rtacct           help                   1       0            —      0  ok
rtcwake          help                   1      12         100%     20  ok
rtla             help                   3       0            —     21  ok
rtmon            help                   1       0            —     20  ok
rtstat           help                  10      10          10%     20  low-confidence
run-parts        help                   1       0            —     20  ok
runc             help                  20       8         100%     20  ok
runcon           help                  11       0            —     20  ok
runlevel         help                   1       1         100%     20  ok
runuser          help                   1      12         100%     20  ok
rust-analyzer    carapace+help         10      24         100%    140  ok
rust-gdb         help                   1       0            —     40  ok
rust-gdbgui      help                   2       0            —     20  ok
rust-lldb        help                   1       0            —     41  ok
rustc            carapace+help          1      28         100%     21  ok
rustdoc          carapace+help          1      75         100%     21  ok
rustfmt          help                   8       8         100%     20  ok
rustup           carapace+help        128      96         100%     21  ok
rview            help                   1      43           2%     20  low-confidence
rvim             help                   1      43           2%     20  low-confidence
sanstats-18      help                   1       4          75%     20  ok
savelog          help                   1       0            —     20  ok
sbattach         help                   1       4         100%     20  ok
sbkeysync        help                   1       6         100%     20  ok
sbsiglist        help                   1       3         100%      0  ok
sbsign           help                   1       6          83%     20  ok
sbvarsign        help                   1       7         100%     20  ok
sbverify         help                   1       3         100%     20  ok
scalar           help                  11       0            —      1  ok
scp              carapace+help          1      23         100%      0  ok
screendump       help                   1       0            —      0  ok
script           carapace+help          1      17          94%     20  ok
scriptlive       carapace+help          1      10         100%     20  ok
scriptreplay     carapace+help          1      13         100%     20  ok
sdiff            help                   1      16         100%     20  ok
sed              carapace+help         17      17         100%     20  ok
select-editor    help                   1       0            —     20  ok
sensible-browser help                   1       0            —     20  ok
sensible-editor  help                  56       0            —     20  ok
sensible-pager   help                  65       4           0%     20  low-confidence
sensible-terminal help                   1       0            —     20  ok
seq              carapace+help         12       5         100%     20  ok
serialver        help                   1       0            —     80  ok
service          help                   1       0            —     20  ok
session-migration help                   1       4         100%     21  ok
setarch          help                   1      13          92%     20  ok
setcap           help                   1       0            —     20  ok
setfont          help                   4       9         100%     20  ok
setkeycodes      help                   1       3         100%     20  ok
setleds          help                   2       6         100%     20  ok
setlogcons       help                   1       0            —     20  ok
setmetamode      help                   3       3         100%     20  ok
setpci           help                   5       1           0%     20  low-confidence
setpriv          help                   1      22         100%     20  ok
setsid           help                   1       5         100%     20  ok
setterm          help                   1      36         100%      1  ok
setupcon         help                  12       5         100%     20  ok
setvesablank     help                   1       0            —     20  ok
setvtrgb         help                   5       3         100%     20  ok
setxkbmap        help                   1       0            —     20  ok
sfdisk           help                   9      34          82%     20  ok
sftp             carapace+help          1      24         100%     20  ok
sg               help                   1       0            —     20  ok
sh               help                   1       0            —     20  ok
sha1sum          carapace+help          1      12         100%     20  ok
sha224sum        carapace+help          1      12         100%      1  ok
sha256sum        carapace+help          1      12         100%     20  ok
sha384sum        carapace+help          1      12         100%     20  ok
sha512sum        carapace+help          1      12         100%     20  ok
shadowconfig     help                   1       0            —     20  ok
shasum           help                   2       8         100%     22  ok
showconsolefont  help                   1       5         100%     20  ok
showkey          carapace+help          1       6         100%     20  ok
showmount        help                   1       0            —     20  ok
shred            carapace+help         13      11         100%     20  ok
shuf             help                   1       6         100%     20  ok
shutdown         carapace+help          1       9         100%     20  ok
size             help                   1       0            —     20  ok
skill            help                   1      15         100%     20  ok
slabtop          carapace+help         11       6         100%     20  ok
sleep            carapace+help          1       2         100%      0  ok
slogin           help                   1       0            —     20  ok
sm-notify        help                   1       0            —     20  ok
snap             help                   5       0            —    120  ok
snapctl          help                  21       1         100%     20  ok
snapfuse         help                   4       0            —     20  ok
snice            help                   1      15         100%     20  ok
socat            help                   1       0            —     20  ok
socat-broker.sh  help                  14       0            —     20  ok
socat-chain.sh   help                   1       0            —     20  ok
socat-mux.sh     help                   2       0            —     20  ok
socat1           help                   1       0            —     20  ok
sort             carapace+help          3      31         100%     20  ok
sotruss          help                   1       2         100%     20  ok
speedtest        help                   2       0            —    161  ok
splain           help                   9       0            —    181  ok
split            carapace+help          7      17         100%     20  ok
split-file-18    help                   1       5          80%     21  ok
splitfont        help                   1       0            —      0  ok
sprof            help                   7       0            —     20  ok
sqfscat          help                  18      11          64%     20  ok
sqfstar          help                 116       1           0%     20  low-confidence
ss               help                   6       4         100%     20  ok
ssh              carapace+help          1      44         100%     20  ok
ssh-add          help                   1       0            —     20  ok
ssh-agent        carapace+help          1       9         100%     20  ok
ssh-argv0        help                   1       0            —     20  ok
ssh-copy-id      carapace+help          1       8         100%     20  ok
ssh-import-id    help                   2       4         100%    203  ok
ssh-import-id-gh help                   1       0            —    443  ok
ssh-import-id-lp help                   1       0            —    465  ok
ssh-keygen       carapace+help          1      42         100%     20  ok
ssh-keyscan      help                   1       0            —     20  ok
sshd             help                   1       0            —     20  ok
starship         carapace+help         15      32         100%     20  ok
start-statd      help                   1       0            —     20  ok
start-stop-daemon help                  11      27         100%     20  ok
stat             carapace+help         42       9         100%     20  ok
stdbuf           help                  18       3         100%     20  ok
streamzip        help                   1       7         100%     60  ok
strings          carapace+help          1      12         100%     20  ok
strip            help                   1       0            —     20  ok
stty             carapace+help         60       5         100%     20  ok
su               carapace+help          1      14         100%     20  ok
sudo             carapace+help          5      28          96%     20  ok
sudo_logsrvd     help                   1       5         100%     20  ok
sudo_sendlog     help                   1       1         100%     20  ok
sudoedit         carapace+help          3      17          94%     20  ok
sudoreplay       carapace+help          1      10         100%     20  ok
sulogin          carapace+help          1       5         100%     20  ok
sum              carapace+help          1       4         100%     20  ok
swaplabel        help                   1       4          75%     20  ok
swapoff          help                   1       6         100%     20  ok
swapon           help                  10      13          92%     20  ok
swift-config     help                   1       4         100%    342  ok
swift-dispersion-populate help                   1       8         100%    442  ok
swift-dispersion-report help                   1       8         100%    505  ok
swift-drive-audit help                   1       0            —    344  ok
swift-form-signature help                  10       0            —    103  ok
swift-get-nodes  help                   1       6         100%    384  ok
swift-init       help                   8      12         100%    343  ok
swift-oldies     help                   1       3         100%     40  ok
swift-orphans    help                   1       5         100%    367  ok
swift-recon      help                   1      30         100%    366  ok
swift-recon-cron help                   4       0            —   2060  ok
swift-ring-builder help                   1       0            —    328  ok
swift-ring-builder-analyzer help                   2       2         100%    328  ok
swift-ring-composer help                   3       1         100%    343  ok
switch_root      help                   1       2         100%     20  ok
sync             carapace+help          1       4         100%     21  ok
sysctl           carapace+help          1      20         100%      1  ok
systemctl        carapace+help        133    4928         100%     33  ok
systemd          help                   1       1         100%     24  ok
systemd-ac-power help                   1       2         100%     23  ok
systemd-analyze  carapace+help         59    1406         100%     25  ok
systemd-ask-password help                   1       3         100%     20  ok
systemd-cat      help                   1       3         100%     22  ok
systemd-cgls     help                   1       8          88%     25  ok
systemd-cgtop    help                   1      14         100%     20  ok
systemd-confext  help                   8       8         100%     20  ok
systemd-creds    help                   8      15         100%     20  ok
systemd-cryptenroll help                   1      20         100%     20  ok
systemd-cryptsetup help                   4       1         100%     21  ok
systemd-delta    help                   1       2         100%     20  ok
systemd-detect-virt help                   1       5         100%     21  ok
systemd-escape   help                   1       4         100%     21  ok
systemd-firstboot help                   1       1         100%     20  ok
systemd-hwdb     help                   3       3         100%     20  ok
systemd-id128    help                   7       5         100%     20  ok
systemd-inhibit  help                   1       1         100%     22  ok
systemd-machine-id-setup help                   1       1         100%     21  ok
systemd-mount    help                   1      12         100%     20  ok
systemd-notify   help                   1       1         100%     20  ok
systemd-path     help                   1       1         100%     20  ok
systemd-repart   help                   1       5         100%     20  ok
systemd-run      help                   1      24          96%     20  ok
systemd-socket-activate help                   1       5         100%     20  ok
systemd-stdio-bridge help                   1       3          67%     20  ok
systemd-sysext   help                   8       8         100%     20  ok
systemd-sysusers help                   1       1         100%     20  ok
systemd-tmpfiles help                   1       2         100%     21  ok
systemd-tty-ask-password-agent help                   1       1         100%     20  ok
systemd-umount   help                   1      12         100%     21  ok
tabs             help                   1      15         100%     20  ok
tac              carapace+help          1       5         100%      1  ok
tail             carapace+help          1      13         100%     20  ok
tar              carapace+help         39     171         100%     21  ok
tarcat           help                   1      10         100%     20  ok
taskset          help                   6       5         100%      1  ok
tc               help                   1       0            —     20  ok
tclsh            help                   1       0            —     41  ok
tclsh8.6         help                   1       0            —     41  ok
tee              carapace+help          5       6         100%     23  ok
telinit          help                   7       2         100%     20  ok
tempfile         help                   1       2         100%     20  ok
test             help                   1       0            —     40  ok
tic              help                   2      28         100%     20  ok
timedatectl      help                  12       5         100%     20  ok
timeout          carapace+help          9       7         100%     20  ok
tipc             help                   1       0            —     20  ok
tload            carapace+help          1       4         100%     21  ok
toe              help                   1       0            —     20  ok
top              carapace+help          1      21         100%    121  ok
touch            carapace+help          1      11         100%     20  ok
tput             help                   5       5         100%      0  ok
tr               carapace+help         26       6         100%     20  ok
trash            help                   4       9         100%    120  ok
trash-empty      help                   2       9         100%    100  ok
trash-list       help                   1       7         100%     80  ok
trash-put        help                   4       9         100%     82  ok
trash-restore    help                   2       5          80%     80  ok
trash-rm         help                   1       0            —    163  ok
tree             carapace+help          1      46         100%     21  ok
true             help                   1       2         100%     20  ok
truncate         carapace+help          1       6         100%     20  ok
tset             help                   1      12         100%     23  ok
tsort            carapace+help          1       2         100%     20  ok
tty              carapace+help          1       4         100%     20  ok
tune2fs          help                   1       0            —     20  ok
turbostat        help                   3       0            —     40  ok
tzselect         help                   1       4         100%     21  ok
ua               help                  16       3         100%    228  ok
ubuntu-advantage help                  16       3         100%    221  ok
ubuntu-bug       help                   1       6         100%    263  ok
ubuntu-distro-info help                   1       8         100%     20  ok
ubuntu-drivers   help                   7       5         100%    100  ok
ucf              help                   1       7         100%     20  ok
ucfq             help                   3       0            —     20  ok
ucfr             help                   1       6         100%     20  ok
uclampset        help                   1       9         100%     21  ok
uconv            help                   1      22         100%     20  ok
ucs2any          help                   1       0            —     20  ok
udevadm          help                  11       0            —     20  ok
udisksctl        help                   1       0            —     20  ok
umount           carapace+help          1      18         100%     21  ok
umount.nfs       help                   1       6           0%     20  low-confidence
umount.nfs4      help                   1       6           0%     20  low-confidence
umount.udisks2   help                   1       0            —     20  ok
uname            carapace+help          1      11         100%     20  ok
unattended-upgrade help                   1       8         100%    182  ok
unattended-upgrades help                   1       8         100%    162  ok
uncompress       help                   1      11         100%     20  ok
unexpand         carapace+help          1       5         100%     20  ok
unicode_start    help                   1       0            —     20  ok
unicode_stop     help                   1       0            —     20  ok
unified-monitoring-agent help                   1       0            —    523  ok
unified-monitoring-agent-gem help                   8       1         100%    161  ok
uniq             carapace+help          1      13         100%     20  ok
unix_chkpwd      help                   1       0            —  10006  ok
unix_update      help                   1       0            —  10000  ok
unlink           carapace+help          1       2         100%     20  ok
unlzma           carapace+help          1      15         100%     20  ok
unminimize       help                  36       0            —     20  ok
unmkinitramfs    help                   1       1         100%     20  ok
unpigz           carapace+help          1      34         100%     20  ok
unshare          help                   1      29         100%     20  ok
unsquashfs       help                  18      48          60%     20  ok
unxz             carapace+help          1      15         100%     20  ok
unzip            carapace+help          4      25         100%     20  ok
unzipsfx         help                   1       0            —     20  ok
unzstd           help                   1      54         100%     20  ok
update-alternatives help                   5      24         100%     20  ok
update-ca-certificates help                   1       0            —     20  ok
update-catalog   help                   3       4         100%     20  ok
update-fonts-alias help                   1       3         100%     20  ok
update-fonts-dir help                   1       2         100%     20  ok
update-fonts-scale help                   1       1         100%     20  ok
update-grub      help                   1       3         100%     40  ok
update-grub2     help                   1       3         100%     40  ok
update-icon-caches help                   1       0            —     20  ok
update-ieee-data help                   2       0            —     20  ok
update-initramfs help                   1       6           0%     20  low-confidence
update-java-alternatives help                   1       0            —     20  ok
update-mime-database help                   1       0            —     20  ok
update-passwd    help                   6       0            —     20  ok
update-pciids    help                   1       0            —     20  ok
update-rc.d      help                   1       0            —     20  ok
update-secureboot-policy help                   1       0            —     20  ok
update-shells    help                   1       0            —     20  ok
update-xmlcatalog help                   1      12          42%     20  low-confidence
uptime           carapace+help          1       6         100%     20  ok
usb-devices      help                   1       0            —     40  ok
usb_modeswitch   help                   1       0            —     20  ok
usb_modeswitch_dispatcher help                   1       0            —     20  ok
usbhid-dump      help                   2       9         100%     20  ok
usbip            help                   3       0            —     20  ok
usbipd           help                   3       0            —     20  ok
usbreset         help                   1       0            —     20  ok
useradd          carapace+help          6      27         100%     20  ok
userdel          carapace+help          1       6         100%     20  ok
usermod          carapace+help          1      26         100%     20  ok
users            carapace+help          1       2         100%     20  ok
utmpdump         help                   1       5         100%     20  ok
uuid-config      help                   1       0            —     20  ok
uvicorn          help                   1      51         100%    141  ok
varlinkctl       help                   7       2         100%     20  ok
vcs-run          help                   1       3         100%     20  ok
vcstime          help                   1       0            —     20  ok
vdir             carapace+help         16      58         100%     21  ok
vdpa             help                   2       0            —     20  ok
verify-uselistorder-18 help                   1       5          80%     20  ok
vi               carapace+help          1      42          24%     20  low-confidence
view             help                   1      43           2%     20  low-confidence
viewres          help                   1       0            —     20  ok
vigr             help                   1       0            —     20  ok
vim              carapace+help          1      42         100%     20  ok
vim.basic        help                   1      43           2%     20  low-confidence
vimdiff          help                   1      43           2%     20  low-confidence
vimtutor         help                   2       0            —  10001  ok
vipw             help                   1       0            —     20  ok
visudo           carapace+help          1       7         100%     20  ok
vite             help                   1       0            —    161  ok
vmstat           carapace+help          1      14         100%     20  ok
w                carapace+help          1      10         100%     20  ok
wall             help                   1       5          80%     20  ok
watch            carapace+help          1      16         100%     20  ok
watchgnupg       carapace+help          1       8          88%     20  ok
wc               carapace+help          1       8         100%     20  ok
wdctl            help                   4      14          79%     20  ok
wget             carapace+help          1     190         100%     21  ok
whereis          carapace+help          1      12         100%     20  ok
which            carapace+help          1      12         100%     20  ok
which.debianutils help                   1       0            —     20  ok
who              carapace+help          1      18         100%     20  ok
whoami           carapace+help          1       2         100%     20  ok
whois            help                   2       4         100%     20  ok
winpr-hash       help                   1       0            —     20  ok
winpr-makecert   help                   1       0            —     20  ok
wipefs           help                   5      13          92%     20  ok
wpa_action       help                   1       0            —     20  ok
wpa_cli          help                 219       0            —     21  ok
wpa_passphrase   help                   5       0            —     20  ok
wpa_supplicant   help                   6      28           4%     20  low-confidence
wsrep_sst_backup help                   1       0            —     20  ok
wsrep_sst_common —                      0       0            —      0  no-tier
wsrep_sst_mariabackup help                   1       0            —     20  ok
wsrep_sst_mysqldump help                   1       0            —     20  ok
wsrep_sst_rsync  help                   1       0            —     20  ok
wsrep_sst_rsync_wan help                   1       0            —     20  ok
x86_energy_perf_policy help                   3       0            —     20  ok
xargs            carapace+help         18      21         100%     20  ok
xauth            help                  18       7         100%     20  ok
xdpyinfo         help                   4       0            —     20  ok
xdriinfo         help                   4       0            —     20  ok
xev              help                   1      12         100%     20  ok
xfd              help                   1       0            —     20  ok
xfontsel         help                   1       0            —     20  ok
xkbbell          help                   1       0            —     20  ok
xkbcomp          help                  14       0            —     20  ok
xkbevd           help                   1       0            —     20  ok
xkbprint         help                   5       0            —     20  ok
xkbvleds         help                   1       0            —     20  ok
xkbwatch         help                   1       0            —     20  ok
xkill            help                   1       6         100%     20  ok
xlsatoms         help                   1       5         100%     20  ok
xlsclients       help                   1       0            —     20  ok
xlsfonts         help                   1       0            —     20  ok
xmessage         help                   1       0            —     20  ok
xml2-config      help                   1       7           0%     20  low-confidence
xprop            help                   1       0            —     20  ok
xsubpp           help                   1       0            —     40  ok
xtables-legacy-multi help                  21       0            —     20  ok
xtables-monitor  help                   1       2         100%     20  ok
xtables-nft-multi help                  39       0            —     20  ok
xvfb-run         help                   6       1           0%     20  low-confidence
xvinfo           help                   1       0            —     20  ok
xwininfo         help                   1      19          95%     20  ok
xxd              help                   1      20         100%     20  ok
xz               carapace+help          1      24         100%     20  ok
xzcat            carapace+help          1      15         100%     20  ok
xzcmp            help                   1       0            —     20  ok
xzdiff           help                   1       0            —     20  ok
xzegrep          help                   1       0            —     20  ok
xzfgrep          help                   1       0            —     20  ok
xzgrep           help                   1       0            —     20  ok
xzless           help                   1       0            —     20  ok
xzmore           help                   1       0            —     20  ok
yaml-bench-18    help                   1       9          89%     20  ok
yaml2obj-18      help                   1       8          88%     20  ok
yes              carapace+help          1       2         100%     20  ok
ypdomainname     help                  13      10          90%     20  ok
zcat             carapace+help          1       9         100%     21  ok
zcmp             help                   1       0            —     20  ok
zdiff            help                   1       0            —     20  ok
zdump            help                   1       7         100%     20  ok
zegrep           help                   1       0            —     20  ok
zfgrep           help                   1       0            —     20  ok
zforce           help                   1       0            —     20  ok
zgrep            help                   1       0            —     20  ok
zic              help                   4       0            —     20  ok
zipdetails       help                   5       6          83%     40  ok
zipgrep          help                   1       0            —     20  ok
zipinfo          help                   1       8         100%     20  ok
zless            help                   1       0            —     20  ok
zmore            help                   1       0            —     20  ok
znew             help                   1       6         100%     20  ok
zoxide           carapace+help         13       2         100%     20  ok
zramctl          help                   9      10         100%     20  ok
zstd             help                   1      54         100%     20  ok
zstdcat          help                   1      54         100%     20  ok
zstdgrep         help                   1       0            —     20  ok
zstdless         help                  65       4           0%     20  low-confidence
zstdmt           help                   1      54         100%     20  ok

# aggregate: pct_described=92.17 no_tier_count=1 total=1665
