tool             tier(s)            nodes   flags   %described     ms  status
clang++-18       help                   1    1080          96%     24  ok
clang-18         help                   1    1080          96%     25  ok
clang-cpp-18     help                   1    1080          96%     24  ok
claude           help                  15      59         100%    363  ok
clear            help                   1       3         100%     20  ok
clear_console    help                   1       3         100%     20  ok
clippy-driver    help                   2       3         100%     21  ok
cloud-id         help                   1       4         100%    281  ok
cloud-init       help                   2       5         100%    302  ok
cloud-init-per   help                   4       0            —     20  ok
cmp              help                  13       7         100%      0  ok
codepage         help                   1       0            —     20  ok
comm             carapace+help          1      10         100%     20  ok
containerd       help                  14       7         100%     20  ok
containerd-shim-runc-v2 help                   1      10          90%     20  ok
convert-json     help                   2      10         100%    361  ok
corelist         help                   1      10         100%    141  ok
corepack         help                  10       0            —     80  ok
count-18         help                   1       0            —     40  ok
cp               carapace+help          5      37         100%     20  ok
cpan             help                   1       0            —    201  ok
cpan5.38-aarch64-linux-gnu help                   1       0            —    182  ok
cpgr             help                   1       0            —     20  ok
cpio             help                   5      29         100%      1  ok
cpp              help                   3      43          95%     20  ok
cpp-13           help                   3      43          95%     20  ok
cppw             help                   1       0            —      1  ok
cpupower         help                   3       0            —     20  ok
csplit           carapace+help          6       9         100%     20  ok
ctr              help                  25       7         100%     20  ok
ctrlaltdel       help                   1       2         100%     20  ok
ctstat           help                  10      10          10%     20  low-confidence
curl             carapace+help          1     273         100%     21  ok
cut              carapace+help          5      11         100%     20  ok
cvtsudoers       help                   1      16          94%     20  ok
dash             help                   1       0            —     20  ok
date             carapace+help         50      15         100%     20  ok
dbilogstrip      help                   1       0            —     20  ok
dbiprof          help                   1       9         100%     40  ok
dbiproxy         help                   1       0            —     20  ok
dbus-cleanup-sockets help                   1       0            —     20  ok
dbus-daemon      help                   1       0            —     20  ok
dbus-monitor     help                   1       0            —     20  ok
dbus-run-session help                   1       0            —     20  ok
dbus-send        help                   1       0            —     20  ok
dbus-update-activation-environment help                  11       0            —      1  ok
dbus-uuidgen     help                   1       0            —     20  ok
dbxtool          help                   1       8         100%     20  ok
dcb              help                   2       0            —     20  ok
dd               carapace+help         40       2         100%     20  ok
deallocvt        help                   1       2         100%     20  ok
deb-systemd-helper help                   1       0            —     40  ok
deb-systemd-invoke help                   1       0            —     20  ok
debconf          help                   1       0            —     61  ok
debconf-apt-progress help                   1       0            —    163  ok
debconf-communicate help                   1       0            —     80  ok
debconf-copydb   help                   1       0            —     60  ok
debconf-escape   help                   1       0            —     20  ok
debconf-set-selections help                   1       0            —     60  ok
debconf-show     help                   1       0            —     63  ok
debian-distro-info help                   1      12         100%      0  ok
debugfs          help                   1       0            —     20  ok
delgroup         help                   6       0            —     60  ok
delpart          help                   1       2         100%     20  ok
deluser          help                   6       0            —     60  ok
depmod           help                   1      14         100%     20  ok
derb             help                   1       0            —     20  ok
devlink          help                   2       0            —     20  ok
df               carapace+help          1      18         100%     20  ok
dh_autotools-dev_restoreconfig help                   1       0            —     20  ok
dh_autotools-dev_updateconfig help                   1       0            —     20  ok
dh_bash-completion help                   1       0            —     20  ok
dh_installxmlcatalogs help                   1       0            —     20  ok
dh_perl_dbi      help                   1       0            —     20  ok
